@;21119
Q;23108
&;23602
W;23693
g;23758
N;23845
M;23871
$;24116
0;24189
#;24385
%;24393
B;24507
8;24565
R;24832
D;24909
X;24950
m;25002
O;25333
K;25451
A;25489
G;25583
H;25670
9;25721
U;25782
V;25792
q;25794
d;25799
6;25840
4;25938
p;26014
b;26057
k;26150
P;26272
S;26454
2;26478
E;26516
w;26584
];26688
5;26719
a;26776
h;26784
j;26829
e;26849
Z;26987
I;27032
y;27033
o;27160
Y;27220
[;27280
3;27287
1;27296
C;27406
x;27456
{;27457
};27461
l;27507
t;27541
F;27578
i;27592
f;27666
u;27673
n;27675
T;27790
7;27793
J;27796
(;27884
);28053
s;28136
|;28185
z;28305
v;28348
?;28519
L;28565
c;28689
r;28770
+;28840
*;28889
/;28900
\;28945
>;29158
<;29240
";";29241
=;29398
!;29460
~;29837
^;29926
,;30219
"'""'";30345
_;30625
:;30768
';31452
-;31534
.;31536
`;31619
 ;32614
